JUPAS,,,,,,,,,,,,Programme,,,
"",,Target,,,,,,1st,2nd,3rd,4th,,Selection,,
Catalogue Programme/ Stream,,,CHI,ENG,MATH,LS,M1/M2,,,,,Weighted,,,Subject Weighting
"",,Percentile,,,,,,Elective,Elective,Elective,Elective,,Principle,,
No.,,,,,,,,,,,,Total,,,
Faculty of Arts,,,,,,,,,,,,,,,
JS4537,Public Health,M,5,4,5,5,,4,4,,,24.5,Best 5,‐‐
"",,LQ,5,3,4,4,,5*,3,3,,23.5,,
JS4542,Chinese Medicine,UQ,4,5,5*,4,,5*,5*,,,34.5,4C+2X,‐‐
"",,M,5*,3,5*,4,5,5,4,,,32,,
"",,LQ,5*,4,5,4,5,5,,,,31.5,,
"",,UQ,4,5,5,5*,,5*,5*,5,,36,,
JS4550,Biomedical Sciences,M,3,5,5**,4,5*,5*,4,,,35,4C+2X,‐‐
"",,LQ,4,5,5,5,5*,5*,5,5,,34.5,,
JS4725,"Biotechnology, Entrepreneurshipand Healthcare Management",UQ,4,5*,5,3,,5*,5*,,,30.5,Best 5,‐‐
"",,M,5,4,5,4,,5*,5,5,,29,,
"",,LQ,4,4,4,5,,5**,5*,,,29,,
Faculty of Science,,,,,,,,,,,,,,
"",,UQ,4,5,5*,3,5,4,,,,39,,"• English or Mathematics (x 1.5)• M1 or M2 (x 2)"
JS4601,Science (broad‐based),M,4,4,5,3,,5,4,4,,35.25,Best 5,"• Economics, Geography, ICT, Tech and Living (FST) (x 1.5)"
"",,LQ,5,3,4,4,2,5,4,4,,33,,"Note: A maximum of 3 subjects will be weighted heavier inthe total score of Best 5 subjects"
"JUPASCatalogueNo.",Programme/ Stream,"TargetPercentile",CHI,ENG,MATH,LS,M1/M2,"1stElective","2ndElective","3rdElective","4thElective","ProgrammeWeightedTotal","SelectionPrinciple",Subject Weighting
JS4648,Earth and Environmental Sciences,UQ,5,3,5*,4,4,5*,5*,,,56,Best 5,"• English (x 2)• Mathematics (x 2)• M1 or M2 (x 2)• Biology, Chemistry, Physics, Comb. Sci, Geography (x 2)"
"",,M,3,4,4,2,,5,5,5,,49,,
"",,LQ,5*,4,4,4,,5*,5,5,D,45,,
"",,UQ,4,4,5**,3,5**,5*,5,5,,56.25,,
JS4682,Enrichment Mathematics,M,4,4,5**,4,5*,5*,5*,5,,52.5,Best 5,• M1 or M2 (x 3.5)
"",,LQ,3,4,5*,3,5*,5*,5,3,,48,,
JS4690,"Enrichment Stream inTheoretical Physics",UQ,4,5,5*,4,,5**,5**,5*,,48.5,Best 5,"• Mathematics (x 1.5)• M1 or M2 (x 1.5)• Physics (x 2)"
"",,M,4,4,5*,4,5,5**,5,,,45.25,,
"",,LQ,4,4,5,2,5,5**,5,,,43,,
